"商品名","分词结果","旧版分词","类别","品牌"
"【BOSSINI】 男 连帽卫衣外套510337140 草绿色","【,BOSSINI,】,男,连,帽,卫衣,外套,510337140,草绿色","bossini,男,连,帽,卫,衣,外套,510337140,草绿色","0-123-16223-16289:服装鞋帽-日常休闲-休闲卫衣","堡狮龙"
"久久木 男款秋冬炫目几何条纹商务休闲polo领羊毛衫 10166 黑色","久久木,男,款,秋冬,炫目,几何,条纹,商务休闲,polo,领,羊毛衫,10166,黑色","久久,木,男,款,秋冬,炫目,几何,条纹,商务,休闲,polo,领,羊毛衫,10166,黑色","0-123-16223-16592:服装鞋帽-日常休闲-休闲毛衫","久久木"
"时尚v领素雅细条纹100%羊毛衫 12075","时尚,v领,素雅,细,条纹,100,%,羊毛衫,12075","时尚,v,领,素雅,细条纹,100,羊毛衫,12075","0-123-16223-16592:服装鞋帽-日常休闲-休闲毛衫","久久木"
"hanakimi 欧美时尚 气质连帽夹克大口袋短外套 超有型 L4370","hanakimi,欧美,时尚,气质,连,帽,夹克,大,口袋,短外套,超,有,型,L4370","hanakimi,欧美,时尚,气质,连,帽,夹克,大,口袋,短,外套,超,l4370","0-123-16223-17062:服装鞋帽-日常休闲-休闲外套",""
"hanakimi女装 韩版时尚双排扣帅气修身风衣YW436 1杏色 S","hanakimi,女装,韩版,时尚,双,排,扣,帅气,修身,风衣,YW436,1,杏,色,S","hanakimi,女装,韩版,时尚,双,排,扣,帅气,修身,风衣,yw436,1,杏,s","0-123-16223-17062:服装鞋帽-日常休闲-休闲外套",""
"2011新款正品CORK勃肯鞋 情侣凉拖鞋防滑软木人字拖男女夹脚拖鞋白40","2011,新款,正品,CORK,勃,肯,鞋,情侣,凉拖鞋,防滑,软木,人字拖,男女,夹,脚,拖鞋,白,40","2011,新款,正品,cork,勃,肯,鞋,情侣,凉,拖鞋,防滑,软木,人字拖,男女,夹,脚,拖鞋,白,40","0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖","CORK ROCKY STONEY"
"2011新款正品CORK勃肯鞋 软木休闲鞋 情侣包头鞋凉拖鞋光面懒人拖白色38","2011,新款,正品,CORK,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉拖鞋,光面,懒人,拖,白色,38","2011,新款,正品,cork,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉,拖鞋,光面,懒人,拖,白色,38","0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖","CORK ROCKY STONEY"
"2011新款正品CORK勃肯鞋 软木休闲鞋 情侣包头鞋凉拖鞋光面懒人拖白色42","2011,新款,正品,CORK,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉拖鞋,光面,懒人,拖,白色,42","2011,新款,正品,cork,勃,肯,鞋,软木,休闲鞋,情侣,包头,鞋,凉,拖鞋,光面,懒人,拖,白色,42","0-123-16224-16544:服装鞋帽-时尚靓鞋-凉拖","CORK ROCKY STONEY"
"GE&ZI银扣磨旧牛仔袖口划破修身背心牛仔蓝7127#","GE,&,ZI,银,扣,磨,旧,牛仔,袖口,划破,修身,背心,牛仔,蓝,7127,#","ge,&,zi,银,扣,磨,旧,牛仔,袖口,划破,修身,背心,牛仔,蓝,7127","0-123-19491-19492-19506:服装鞋帽-女装.-女装T恤-女装背心","GE&ZI"
"GE&ZI夏日甜心海军风条纹平口垂摆上衣粉色1304#","GE,&,ZI,夏日,甜,心海,军风,条纹,平,口,垂,摆,上衣,粉色,1304,#","ge,&,zi,夏日,甜,心海,军风,条纹,平,口,垂,摆,上衣,粉色,1304","0-123-19491-19492-19508:服装鞋帽-女装.-女装T恤-女装吊带衫","GE&ZI"
"2011春装新品 街头潮品个性字母搞怪小丑印花长款弧形T恤T00013灰色","2011,春装,新品,街头,潮,品,个性,字母,搞怪,小丑,印花,长款,弧形,T恤,T00013,灰色","2011,春装,新品,街头,潮,品,个性,字母,搞怪,小丑,印花,长,款,弧形,t恤,t00013,灰色","0-123-19491-19492-19509:服装鞋帽-女装.-女装T恤-女装长袖T恤","hanakimi"
"2011春装新品 韩版简约时尚字母印花小钉钻装饰修身T恤T00010绿色","2011,春装,新品,韩版,简约,时尚,字母,印花,小,钉,钻,装饰,修身,T恤,T00010,绿色","2011,春装,新品,韩版,简约,时尚,字母,印花,小,钉,钻,装饰,修身,t恤,t00010,绿色","0-123-19491-19492-19509:服装鞋帽-女装.-女装T恤-女装长袖T恤","hanakimi"
"佐丹奴 女装 知性少女头像T恤 01321211001","佐丹奴,女装,知性,少女,头像,T恤,01321211001","佐丹奴,女装,知性,少女,头像,t恤,01321211001","0-123-19491-19492-19510:服装鞋帽-女装.-女装T恤-女装短袖T恤","佐丹奴"
"唐狮 正品夏装女猫猫求爱记主图印花T恤 111221021412 浅麻灰色 XS","唐狮,正品,夏装,女,猫猫,求爱,记,主,图,印花,T恤,111221021412,浅,麻,灰色,XS","唐狮,正品,夏装,女,猫猫,求爱记,主,图,印花,t恤,111221021412,浅,麻,灰色,xs","0-123-19491-19492-19510:服装鞋帽-女装.-女装T恤-女装短袖T恤","唐狮"
"HodooAge 快乐熊猫 韩版修身纯棉莱卡超可爱女短袖T恤 TS1016","HodooAge,快乐,熊猫,韩版,修身,纯棉,莱卡,超,可,爱女,短袖T恤,TS1016","hodooage,快乐,熊猫,韩版,修身,纯棉,莱卡,超,爱女,短袖t恤,ts1016","0-123-19491-19492-19510:服装鞋帽-女装.-女装T恤-女装短袖T恤",""
"ESPRIT  女装 edc系列绣花系带小马甲 RE0812-206-9","ESPRIT,女装,edc,系列,绣花,系带,小,马甲,RE0812-206-9","esprit,女装,edc,绣花,系带,小,马甲,re0812,206,9","0-123-19491-19515-19516:服装鞋帽-女装.-女装针织衫/毛衫-女装背心/马甲套衫","ESPRIT"
"唐狮 女士纯色立领潮流棉马甲#110321061402  黑色              ","唐狮,女士,纯色,立领,潮流,棉,马甲,#110321061402,黑色","唐狮,女士,纯色,立,领,潮流,棉,马甲,110321061402,黑色","0-123-19491-19515-19516:服装鞋帽-女装.-女装针织衫/毛衫-女装背心/马甲套衫","唐狮"
"唐狮 女格子连帽棉马甲#110321061401  枚红色                  ","唐狮,女,格子,连,帽,棉,马甲,#110321061401,枚,红色","唐狮,女,格子,连,帽,棉,马甲,110321061401,枚,红色","0-123-19491-19515-19516:服装鞋帽-女装.-女装针织衫/毛衫-女装背心/马甲套衫","唐狮"
"凝彩羊绒衫女V领印花开衫1009黑白","凝彩,羊绒衫,女,V领,印花,开衫,1009,黑白","凝,彩,羊绒衫,女,v,领,印花,开衫,1009,黑白","0-123-19491-19515-19519:服装鞋帽-女装.-女装针织衫/毛衫-女装羊绒衫","凝彩"
"2011春季新款 针织衫 套头蝙蝠袖 韩版针织衫 小外套 WK71 深灰色 M","2011,春季,新款,针织衫,套头,蝙蝠,袖,韩版,针织衫,小,外套,WK71,深灰色,M","2011,春季,新款,针织衫,套头,蝙蝠,袖,韩版,针织衫,小,外套,wk71,深灰色,m","0-123-19491-19515-19521:服装鞋帽-女装.-女装针织衫/毛衫-女装长袖开衫","久久木"
"佐丹奴 女装长袖条纹线衣外套01350585 哥特式紫","佐丹奴,女装,长袖,条纹,线衣,外套,01350585,哥特式,紫","佐丹奴,女装,长袖,条纹,线衣,外套,01350585,哥特式,紫","0-123-19491-19515-19521:服装鞋帽-女装.-女装针织衫/毛衫-女装长袖开衫","佐丹奴"
"佐丹奴 女装长袖线衣外套01359709 草绿","佐丹奴,女装,长袖,线衣,外套,01359709,草绿","佐丹奴,女装,长袖,线衣,外套,01359709,草绿","0-123-19491-19515-19521:服装鞋帽-女装.-女装针织衫/毛衫-女装长袖开衫","佐丹奴"
"OLOMO欧莱诺 女装 OL达人条纹收腰衬衫 1112220440 绿色","OLOMO,欧莱诺,女装,OL,达人,条纹,收,腰,衬衫,1112220440,绿色","olomo,欧莱,诺,女装,ol,达人,条纹,腰,衬衫,1112220440,绿色","0-123-19491-19523-19525:服装鞋帽-女装.-女装衬衫-女装长袖衬衫","OLOMO欧莱诺"
"唐狮 女纯棉英伦格子长袖衬衫#110321015401  祖母绿            ","唐狮,女,纯棉,英伦,格子,长袖,衬衫,#110321015401,祖母绿","唐狮,女,纯棉,英伦,格子,长袖衬衫,110321015401,祖母绿","0-123-19491-19523-19525:服装鞋帽-女装.-女装衬衫-女装长袖衬衫","唐狮"
"OLOMO欧莱诺 女装 繁花似锦印花雪纺短袖衫 1104230620 红色","OLOMO,欧莱诺,女装,繁花似锦,印花,雪纺,短袖,衫,1104230620,红色","olomo,欧莱,诺,女装,繁花似锦,印花,雪纺,短袖衫,1104230620,红色","0-123-19491-19523-19526:服装鞋帽-女装.-女装衬衫-女装短袖衬衫","OLOMO欧莱诺"
"【PARGO/佩戈】2010秋冬新款专柜正品商务休闲  女士百搭天鹅绒套装1026","【,PARGO,/,佩戈,】,2010,秋冬,新款,专柜,正品,商务休闲,女士,百搭,天鹅绒,套装,1026","pargo,佩,戈,2010,秋冬,新款,专柜,正品,商务,休闲,女士,百,搭,天鹅绒,套装,1026","0-123-19491-19536-19537:服装鞋帽-女装.-女装卫衣-女装卫衣开衫","PARGO佩戈"
"宝贝双星宝牛仔小姐连帽衫 703501 黄色","宝贝双星,宝,牛仔,小姐,连,帽,衫,703501,黄色","宝贝,双星,宝,牛仔,小姐,连,帽,衫,703501,黄色","0-123-19491-19536-19537:服装鞋帽-女装.-女装卫衣-女装卫衣开衫","宝贝双星"
"BSX 女装 疯狂的爱印花连帽卫衣 04380521001","BSX,女装,疯狂,的,爱,印花,连,帽,卫衣,04380521001","bsx,女装,疯狂,爱,印花,连,帽,卫,衣,04380521001","0-123-19491-19536-19538:服装鞋帽-女装.-女装卫衣-女装卫衣套衫","BSX"
"唐狮 女士全棉纯色连帽卫衣#110321034403  黑色                ","唐狮,女士,全棉,纯色,连,帽,卫衣,#110321034403,黑色","唐狮,女士,全棉,纯色,连,帽,卫,衣,110321034403,黑色","0-123-19491-19536-19538:服装鞋帽-女装.-女装卫衣-女装卫衣套衫","唐狮"
"2011春装新品 日系气质公主风毛呢个性拼接皮革褶皱半身裙Q00022黑色L","2011,春装,新品,日,系,气质,公主,风,毛呢,个性,拼接,皮革,褶皱,半身裙,Q00022,黑色,L","2011,春装,新品,日,系,气质,公主,风,毛呢,个性,拼接,皮革,褶皱,半身裙,q00022,黑色,l","0-123-19491-19539-19540:服装鞋帽-女装.-女装裙子-女装迷你裙","hanakimi"
"Moonbasa梦芭莎 手工钉珠片牛仔短裙 (034311207)","moonbasa,梦,芭,莎,手工,钉,珠,片,牛仔,短裙,(,034311207,)","moonbasa,梦,芭,莎,手工,钉,珠片,牛仔,短裙,034311207","0-123-19491-19539-19541:服装鞋帽-女装.-女装裙子-女装及膝裙","Moonbasa梦芭莎"
"Moonbasa梦芭莎 通勤大气不规则压褶短裙(034311203)","moonbasa,梦,芭,莎,通勤,大气,不规则,压,褶,短裙,(,034311203,)","moonbasa,梦,芭,莎,通勤,大气,不规则,压,褶,短裙,034311203","0-123-19491-19539-19541:服装鞋帽-女装.-女装裙子-女装及膝裙","Moonbasa梦芭莎"
"GE&ZI复古海军风双排铜扣装饰高腰裙裤7103#","GE,&,ZI,复古,海,军风,双,排,铜,扣,装饰,高腰,裙裤,7103,#","ge,&,zi,复古,海,军风,双,排,铜,扣,装饰,腰,裙裤,7103","0-123-19491-19539-19543:服装鞋帽-女装.-女装裙子-女装裙裤","GE&ZI"
"GE&ZI时尚诱惑束皱蝴蝶结雪仿连衣裙8206#","GE,&,ZI,时尚,诱惑,束,皱,蝴蝶结,雪,仿,连衣裙,8206,#","ge,&,zi,时尚,诱惑,束,皱,蝴蝶结,雪,仿,连衣裙,8206","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","GE&ZI"
"GE&ZI花の舞简约淑女风连衣裙咖啡(配大红色腰带）9607#","GE,&,ZI,花,の,舞,简约,淑女,风,连衣裙,咖啡,(,配,大,红色,腰带,）,9607,#","ge,&,zi,花,の,舞,简约,淑女,风,连衣裙,咖啡,配,大红色,腰带,9607","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","GE&ZI"
"Moonbasa梦芭莎  纯色浪漫V领收腰连衣裙 034111213","moonbasa,梦,芭,莎,纯色,浪漫,V,领收,腰,连衣裙,034111213","moonbasa,梦,芭,莎,纯色,浪漫,v,领收,腰,连衣裙,034111213","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","Moonbasa梦芭莎"
"Sweet Young 淘气宝贝?可爱娃娃居家连衣裙 710 灰色 均码","sweet,young,淘气宝贝,?,可爱,娃娃,居家,连衣裙,710,灰色,均,码","sweet,young,淘气,宝贝,可爱,娃娃,居家,连衣裙,710,灰色,均,码","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","Sweet Young"
"Tomnrabbit 女装 民族风设计牡丹花连衣裙 TQ2180","tomnrabbit,女装,民族风,设计,牡丹花,连衣裙,TQ2180","tomnrabbit,女装,民族,风,牡丹花,连衣裙,tq2180","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","Tomnrabbit"
"Tomnrabbit 女装 立领宽松撞色中袖连衣裙 TQ1130 藏蓝 均码","tomnrabbit,女装,立领,宽松,撞色,中袖,连衣裙,TQ1130,藏蓝,均,码","tomnrabbit,女装,立,领,宽松,撞,袖,连衣裙,tq1130,藏蓝,均,码","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","Tomnrabbit"
"2011夏装新款无袖时尚连身裙8027","2011,夏装,新款,无袖,时尚,连身,裙,8027","2011,夏装,新款,无袖,时尚,连身,裙,8027","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","hanakimi"
"2011春装新款 韩版简约蕾丝镂空拼接网纱亮色裙摆连衣裙Q00024黄色L","2011,春装,新款,韩版,简约,蕾丝,镂空,拼接,网纱,亮色,裙摆,连衣裙,Q00024,黄色,L","2011,春装,新款,韩版,简约,蕾丝,镂空,拼接,网,纱,亮色,裙摆,连衣裙,q00024,黄色,l","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","hanakimi"
"2012hanakimi春装新款 韩版淑女蝴蝶结装饰收腰洋装连衣裙Q00016深蓝色XL","2012,hanakimi,春装,新款,韩版,淑女,蝴蝶结,装饰,收,腰,洋装,连衣裙,Q00016,深蓝色,XL","2012hanakimi,春装,新款,韩版,淑女,蝴蝶结,装饰,腰,洋装,连衣裙,q00016,深蓝色,xl","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","hanakimi"
"NONO韩 冬 2010 秋 新 韩版女装 剪毛仿皮草连衣裙203810","NONO,韩,冬,2010,秋,新,韩版,女装,剪毛,仿,皮草,连衣裙,203810","nono,韩,冬,2010,秋,新,韩版,女装,剪毛,仿,皮草,连衣裙,203810","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙","nonofashion"
"GE&ZI酷感时尚腰带烫珠收臀针织连衣裙8118#","GE,&,ZI,酷,感,时尚,腰带,烫,珠,收,臀,针织,连衣裙,8118,#","ge,&,zi,酷,感,时尚,腰带,烫,珠,臀,针织,连衣裙,8118","0-123-19491-19539-19544:服装鞋帽-女装.-女装裙子-女装连身裙",""
"康妮雅家居服 女短裤01072601碳灰","康妮雅,家居服,女,短裤,01072601,碳,灰","康妮,雅,家居服,女,短裤,01072601,碳,灰","0-123-19491-19546-19549:服装鞋帽-女装.-女装短裤/中裤-女装短裤","2M"
"最新2011新款韩国夏款女装丝袜打底裤连衣袜彩色显瘦夏天打底裤子W00084","最新,2011,新款,韩国,夏,款,女装,丝袜,打底裤,连,衣,袜,彩色,显,瘦,夏天,打底,裤子,W00084","最新,2011,新款,韩国,夏,款,女装,丝袜,打,底裤,连,衣,袜,彩色,显,瘦,夏天,打底,裤子,w00084","0-123-19491-19546-19549:服装鞋帽-女装.-女装短裤/中裤-女装短裤","hanakimi"
"O.SA2011夏OL时尚百搭修身大码 女 七分裤 SK90206","O.SA2011,夏,OL,时尚,百搭,修身,大,码,女,七分裤,SK90206","o,sa2011,夏,ol,时尚,百,搭,修身,大,码,女,七分裤,sk90206","0-123-19491-19550-19552:服装鞋帽-女装.-女装长裤-女装西裤","O.SA"
"O.SA2011春装 修身休闲时尚九分裤 裤子 女 SK90204","O.SA2011,春装,修身,休闲,时尚,九分裤,裤子,女,SK90204","o,sa2011,春装,修身,休闲,时尚,九,分,裤,裤子,女,sk90204","0-123-19491-19550-19552:服装鞋帽-女装.-女装长裤-女装西裤","O.SA"
"佐丹奴 女 弹力轻爽日常直筒西裤 冷灰色","佐丹奴,女,弹力,轻爽,日常,直,筒,西裤,冷,灰色","佐丹奴,女,弹力,轻爽,日常,直,筒,西裤,冷,灰色","0-123-19491-19550-19552:服装鞋帽-女装.-女装长裤-女装西裤","佐丹奴"
"唐狮 女纯棉多彩低腰小脚牛仔裤#110322083404  中国红          ","唐狮,女,纯棉,多彩,低腰,小脚,牛仔裤,#110322083404,中国红","唐狮,女,纯棉,多彩,低腰,小脚,牛仔裤,110322083404,中国红","0-123-19491-19550-19553:服装鞋帽-女装.-女装长裤-女装牛仔裤","唐狮"
"A.H 女装休闲窄脚裤 WH611004841","A.H,女装,休闲,窄,脚,裤,WH611004841","h,女装,休闲,窄,脚,裤,wh611004841","0-123-19491-19550-19556:服装鞋帽-女装.-女装长裤-女装窄脚裤","A.H"
"nike 360 女 针织夹克 239713 480","nike,360,女,针织,夹克,239713,480","nike,360,女,针织,夹克,239713,480","0-123-19491-19558-19559:服装鞋帽-女装.-女装外套-女装夹克","nike 360"
"LUV SYMBOLS 宝贝双星经典款连帽大衣 兰","LUV,SYMBOLS,宝贝双星,经典,款,连,帽,大衣,兰","luv,symbols,宝贝,双星,经典,款,连,帽,大衣,兰","0-123-19491-19558-19560:服装鞋帽-女装.-女装外套-女装风衣","宝贝双星"
"宝贝双星圣诞红羽绒外套 704525","宝贝双星,圣诞红,羽绒,外套,704525","宝贝,双星,圣诞红,羽绒,外套,704525","0-123-19491-19558-19566:服装鞋帽-女装.-女装外套-女装羽绒服","宝贝双星"
"佐丹奴 男多彩烫印纯棉长袖T恤 01029514  宝石红","佐丹奴,男,多彩,烫,印,纯棉,长袖T恤,01029514,宝石,红","佐丹奴,男,多彩,烫,印,纯棉,长袖t恤,01029514,宝石,红","0-123-19567-19568-19570:服装鞋帽-男装.-男装T恤-男装长袖T恤","佐丹奴"
"佐丹奴 男装长袖圆领TEE01020532 金章黄","佐丹奴,男装,长袖,圆领,TEE01020532,金,章,黄","佐丹奴,男装,长袖,圆领,tee01020532,金,章,黄","0-123-19567-19568-19570:服装鞋帽-男装.-男装T恤-男装长袖T恤","佐丹奴"
"康妮雅家居服 男V领短袖T01071321南瓜橙","康妮雅,家居服,男,V领,短袖,T01071321,南瓜,橙","康妮,雅,家居服,男,v,领,短袖,t01071321,南瓜,橙","0-123-19567-19568-19571:服装鞋帽-男装.-男装T恤-男装短袖T恤","2M"
